rep,ID,timeAfterLastDose,sim_y1,censored,split,color,filter
23,13,24,55.4967,0,All,-1,0
23,14,24,17.0745,0,All,-1,0
23,15,24,26.6999,0,All,-1,0
24,1,24,26.446,0,All,-1,0
24,2,24,51.4995,0,All,-1,0
24,3,24,49.986,0,All,-1,0
24,4,24,46.4033,0,All,-1,0
24,5,24,55.6855,0,All,-1,0
24,6,24,43.4593,0,All,-1,0
24,7,24,64.0317,0,All,-1,0
24,8,24,81.3868,0,All,-1,0
24,9,24,34.2524,0,All,-1,0
24,10,24,70.5468,0,All,-1,0
24,11,24,90.0335,0,All,-1,0
24,12,24,96.1698,0,All,-1,0
24,13,24,57.1437,0,All,-1,0
24,14,24,17.9733,0,All,-1,0
24,15,24,22.0586,0,All,-1,0
25,1,24,25.7325,0,All,-1,0
25,2,24,41.651,0,All,-1,0
25,3,24,49.045,0,All,-1,0
25,4,24,68.0727,0,All,-1,0
25,5,24,63.6596,0,All,-1,0
25,6,24,53.675,0,All,-1,0
25,7,24,77.637,0,All,-1,0
25,8,24,78.6378,0,All,-1,0
25,9,24,15.023,0,All,-1,0
25,10,24,56.6764,0,All,-1,0
25,11,24,64.2584,0,All,-1,0
25,12,24,89.294,0,All,-1,0
25,13,24,70.0037,0,All,-1,0
25,14,24,11.884,0,All,-1,0
25,15,24,24.999,0,All,-1,0
26,1,24,29.8696,0,All,-1,0
26,2,24,36.6381,0,All,-1,0
26,3,24,33.1641,0,All,-1,0
26,4,24,59.3238,0,All,-1,0
26,5,24,52.3523,0,All,-1,0
26,6,24,45.9701,0,All,-1,0
26,7,24,103.41,0,All,-1,0
26,8,24,75.2239,0,All,-1,0
26,9,24,36.114,0,All,-1,0
26,10,24,53.804,0,All,-1,0
26,11,24,93.4147,0,All,-1,0
26,12,24,76.7414,0,All,-1,0
26,13,24,61.9784,0,All,-1,0
26,14,24,12.7622,0,All,-1,0
26,15,24,24.5711,0,All,-1,0
27,1,24,31.2014,0,All,-1,0
27,2,24,47.8393,0,All,-1,0
27,3,24,70.1609,0,All,-1,0
27,4,24,68.1044,0,All,-1,0
27,5,24,57.1496,0,All,-1,0
27,6,24,52.6561,0,All,-1,0
27,7,24,82.9158,0,All,-1,0
27,8,24,72.2693,0,All,-1,0
27,9,24,23.3408,0,All,-1,0
27,10,24,67.706,0,All,-1,0
27,11,24,69.2297,0,All,-1,0
27,12,24,86.5572,0,All,-1,0
27,13,24,35.8589,0,All,-1,0
27,14,24,14.3807,0,All,-1,0
27,15,24,24.6842,0,All,-1,0
28,1,24,24.103,0,All,-1,0
28,2,24,34.9261,0,All,-1,0
28,3,24,64.1617,0,All,-1,0
28,4,24,63.8264,0,All,-1,0
28,5,24,56.6055,0,All,-1,0
28,6,24,49.4862,0,All,-1,0
28,7,24,67.6027,0,All,-1,0
28,8,24,63.4533,0,All,-1,0
28,9,24,26.4829,0,All,-1,0
28,10,24,62.8786,0,All,-1,0
28,11,24,60.1757,0,All,-1,0
28,12,24,82.4108,0,All,-1,0
28,13,24,56.5586,0,All,-1,0
28,14,24,14.0249,0,All,-1,0
28,15,24,28.7186,0,All,-1,0
29,1,24,23.854,0,All,-1,0
29,2,24,47.7809,0,All,-1,0
29,3,24,37.5379,0,All,-1,0
29,4,24,68.3695,0,All,-1,0
29,5,24,52.503,0,All,-1,0
29,6,24,58.6593,0,All,-1,0
29,7,24,64.5812,0,All,-1,0
29,8,24,75.6345,0,All,-1,0
29,9,24,31.9975,0,All,-1,0
29,10,24,87.2983,0,All,-1,0
29,11,24,83.8821,0,All,-1,0
29,12,24,94.0904,0,All,-1,0
29,13,24,65.1559,0,All,-1,0
29,14,24,12.4783,0,All,-1,0
29,15,24,27.8866,0,All,-1,0
30,1,24,31.2247,0,All,-1,0
30,2,24,52.3566,0,All,-1,0
30,3,24,72.0992,0,All,-1,0
30,4,24,70.712,0,All,-1,0
30,5,24,62.7657,0,All,-1,0
30,6,24,48.8174,0,All,-1,0
30,7,24,77.9008,0,All,-1,0
30,8,24,72.6907,0,All,-1,0
30,9,24,31.2118,0,All,-1,0
30,10,24,49.4687,0,All,-1,0
30,11,24,86.4365,0,All,-1,0
30,12,24,89.8361,0,All,-1,0
30,13,24,50.0127,0,All,-1,0
30,14,24,14.636,0,All,-1,0
30,15,24,25.9883,0,All,-1,0
31,1,24,30.6283,0,All,-1,0
31,2,24,55.3496,0,All,-1,0
31,3,24,32.5449,0,All,-1,0
31,4,24,56.5528,0,All,-1,0
31,5,24,56.8127,0,All,-1,0
31,6,24,45.4204,0,All,-1,0
31,7,24,64.3794,0,All,-1,0
31,8,24,103.385,0,All,-1,0
31,9,24,36.6265,0,All,-1,0
31,10,24,96.1719,0,All,-1,0
31,11,24,67.0089,0,All,-1,0
31,12,24,84.88,0,All,-1,0
31,13,24,58.297,0,All,-1,0
